region_id,region_name,clinic_id,clinic_name,clinic_address,clinic_geo,clinic_phone,clinic_worktime
19,Aguascalientes,1327,Altaria,"Blvd. A Zacatecas #849, L-1117 A y L-1117B, Trojes de Alonso, C.P. 20116, Aguascalientes, Aguascalientes. De lado de La Comer, frente a Sport World y Coppel.","['21.9245323', '-102.2897871']","['(44) 9925- 8100', '(44) 9925- 8101']","['L-V 9:00 a 20:00', 'S-D 11:00 a 20:00']"
25,Baja California,343685,Península Tijuana,"Vía Rápida Ote. 15000 Chapultepec Alamar, 22150 Tijuana, B.C. Local L-46 2do piso, a un costado de Cuadra y Carter's.","['32.5134115', '-116.9658006']","['(664) 423 0960', '(664) 423 0961']","['L-V 9:00 a 20:00', 'S-D 9:00 a 18:00']"
25,Baja California,1343,Paseo Chapultepec,"Blvd. Agua Caliente 10387, Neidhart, 22020 Tijuana, B.C. BC. 2do piso, Local C-203.","['32.5140932', '-117.0121572']","['(664) 681-8528', '(664) 681-8911']","['L-V 9:00 a 20:00', 'S-D 9:00 a 18:00']"
26,Chihuahua,1355,Las Misiones,"Boulevard Teófilo Borunda 8681, Col. Partido Iglesias, CP. 32663, Ciudad Juárez, Chihuahua, México. Planta alta, a un costado del área de comida.","['31.6868462', '-106.4080948']","['(656) 478-7700', '(656) 478-7701']","['L-V 9:00 a 20:00', 'S-D 9:00 a18:00']"
26,Chihuahua,1344,Chihuahua,"Av. Periférico de la Juventud 3501, Local U-59 y U-60 Fracc. Plaza del Sol, 31236, Chihuahua. Planta alta, entre Liverpool y la tienda Arte Egipcio.","['28.6250271', '-106.116195']","['(614) 430-3127', '(614) 430-1487']","['L-V 9:00 a 21:00', 'S 9:00 a 18:00', 'D 10:00 a 19:00']"
16,Ciudad de México,343533,Acoxpa,"Calz. Acoxpa 430, Ex-Hacienda Coapa, 14300, CDMX. En los locales frente al estacionamiento descubierto, a dos locales de Starbucks.","['19.2980525', '-99.1376166']","['(55) 5677-2198', '(55) 5678-0750']","['L-V 10:00 a 20:00', 'S-D 9:00 a 18:00']"
16,Ciudad de México,1359,Santa Fe,"Vasco de Quiroga 3800, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05348 Ciudad de México, CDMX Local 569. 3er piso, por Palacio de Hierro.","['19.3613046', '-99.2735343']","['(55) 4737 8430', '(55) 4737 8431']",['L-D 11:00 a 20:00']
16,Ciudad de México,1313,Viaducto,"Viaducto Río de la Piedad 515, Granjas, 08400, CDMX.  1er piso, a lado de Smart Fit.","['19.4062231', '-99.1106088']",['(55) 4737 8436'],['L-D 11:00 a 20:00']
16,Ciudad de México,1312,Patio Universidad,"Av. Popocatépetl 546, Xoco, 03330 Ciudad de México, CDMX. 2do piso, a un costado de Cinépolis.","['19.36588', '-99.1669431']","['(55) 5604-5946', '(55) 5601-4242']","['L-V 9:00 a 21:00', 'S 10:00 a 20:00', 'D 9:00 a 18:00']"
16,Ciudad de México,1310,Tlatelolco,"Manuel González 95, San Simón Tolnahuac, Cuauhtémoc, 06920 Ciudad de México, CDMX. A pie de calle, a lado de las escaleras eléctricas.","['19.4557924', '-99.1421227']","['(55) 47 37 84 34', '(55) 47 37 84 32']",['L-D 11:00 a 20:00']
16,Ciudad de México,1309,Tezontle,"Av. Canal De Tezontle 1512 Local 279, Alfonso Ortiz Tirado, 09020, Iztapalapa, CDMX. 2do piso, a lado de The Body Shop, frente a Italianni´s.","['19.3839615', '-99.0826723']","['(55) 9129-0134', '(55) 9129-0338']",['L-D 11:00 a 20:00']
16,Ciudad de México,1308,Samara,"Antonio Dovali Jaime 70 LOCAL PL09B, Zedec Sta Fé, 01219 Ciudad de México. En planta baja, diagonal a Cinépolis o Sally Beauty.","['19.3674396', '-99.2592183']","['(55) 5775-6886', '(55) 1163-5536']","['L-V 8:00 a 20:00', 'S-D 9:00 a 18:00']"
16,Ciudad de México,1307,Reforma,"Av. Paseo de la Reforma 222, Local 208, Juárez, Cuauhtémoc, 06600,CDMX. Frente a Cinemex y a lado de Smartfit.","['19.4286725', '-99.1616682']","['(55) 5511-8567', '(55) 5533-2061']",['L-D 7:00 a 20:00']
16,Ciudad de México,1306,Plaza Carso,"Lago Zurich no.219 Col. Ampliación Granada, Alcaldía Miguel Hidalgo C.P. 11529 Ciudad de México. Local PA-03, junto a Academia Europea de idiomas, frente a Go Kart.","['19.4429015', '-99.2029344']","['(55) 5580-7866', '(55) 5395-5433']","['L-V 8:00 a 21:00', 'S-D 11:00 a 20:00']"
16,Ciudad de México,1305,Pedregal,"Periférico Sur 4268, Jardines del Pedregal de San Ángel, Coyoacán, 04500 Ciudad de México, CDMX. Sótano 1, frente al elevador.","['19.3056683', '-99.2028421']","['(55) 5677-2596', '(55) 2487-3387']","['L-V 9:00 a 21:00', 'S-D 9:00 a 18:00']"
16,Ciudad de México,1304,Parque Delta,"Av. Cuauhtémoc No. 462, Locales L-301 y L-301B, Colonia Piedad Narvarte, Benito Juárez, C.P. 03000, CDMX. Junto a Cinemex Platinum.","['19.3969198', '-99.1561339']","['(55) 5080 4860', '(55) 5080 4861']",['L-D 11:00 a 20:00']
16,Ciudad de México,1303,Patriotismo,"Av. Patriotismo 229, San Pedro de los Pinos, Int Local 116-a, 03800 Benito Juárez, CDMX. 1er piso, frente a las escaleras eléctricas que van al cine.","['19.3962706', '-99.1805731']","['(55) 35 47-27 47', '(55) 55 16-93 37']","['L-V 9:00 a 21:00', 'S-D 9:00 a 18:00']"
16,Ciudad de México,1301,Miyana,"Av. Ejercito Nacional Mexicano 769 Esq. Moliere, Granada, Miguel Hidalgo, 11520 CDMX. Local S03 Y S03-A. Sótano 1, junto a la lavandería y la estética.","['19.4404937', '-99.1998231']",['(55) 3602-4258'],"['L-V 7:00 a 20:00', 'S-D 11:00 a 20:00']"
